#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
30	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
64	10	11	11	14.9	19.4	22.1	27.8	25.6	23.9	20.2	14.8	13.3	77.9	26.7	32.7	30.5	52.7	7.1	1.1	2.4	14.9	67.8	36	170.8
65	11.5	11.3	11.4	14.5	17.8	18.8	27.8	24.6	23.6	18.6	15.9	12.2	67.5	12.8	94.1	41.8	64.3	8.9	11.6	0.3	118.9	92.6	180.7	88.1
66	10	12	13.9	14.9	17.3	23	23.1	26	24.5	19.5	14.2	12.9	58.9	58.9	63.5	133.4	12.1	26.3	2.1	3.6	120.9	146.6	104.7	125.5
67	12.5	10.2	12.3	14.5	16.8	20.7	26.9	26.6	23.3	20	14.4	12.7	23.5	63.6	42.2	36.7	25.9	30.6	0	3	15.4	131.4	129.2	58.1
68	12	8.8	13	14.4	18.8	21.4	22.4	26.9	22	18.6	14.6	13.5	93.1	128.9	135.8	9.6	36.7	24.1	19.5	0.2	161.8	16	173.5	67.3
69	10.1	10.9	12.7	16.5	19.1	23.5	24.9	25.4	21.4	20.6	15.5	11.7	67.3	54.4	29.2	12.9	18.1	3.7	1.2	8.2	80.5	41.8	127.8	149.5
70	10.4	11.2	12.3	13.7	19.7	24.2	25.8	28.6	21.6	19.9	14.1	12	71.7	16.7	76.1	13.4	2.3	0.3	0	8.4	9.1	217.5	83.1	192
71	10.7	11.1	12.9	13	19	23	25.2	27.8	23.4	19.9	16.2	12.8	4.3	55.6	20.6	26.6	23	3.4	3.1	0.3	21.7	31.4	62.2	115.9
72	12.2	10.2	13.9	14.2	16.5	22.1	24.3	24.6	23.4	20	15.1	13.3	34.1	18.9	6.3	9.6	22.1	1.9	10.8	56.9	20.6	27	83.2	210.1
73	11.7	12.3	12.6	11.3	17.2	23.4	24.8	24.6	23	17.7	14.5	12.4	57.7	11.8	54.3	122	48.9	13.7	3	44.7	68.4	37.5	18.3	11.9
